question,template,status,row_count,duration_ms,api_duration_ms,mem_current_kb,mem_peak_kb,rss_before_mb,rss_after_mb,rss_delta_mb,cpu_before_pct,cpu_after_pct,from_cache,timestamp,expected_template,pass
factures entre 2026-01-01 et 2026-01-31,get_factures_between,success,100,2064.91,0.12,90.53,104.24,106.79,108.26,1.47,0.0,0.0,True,2026-04-02T11:52:29.791559,get_factures_between,1
factures entre 2025-12-01 et 2026-02-28,get_factures_between,success,100,2061.62,0.08,56.1,69.64,108.26,108.27,0.01,0.0,0.8,True,2026-04-02T11:52:31.954198,get_factures_between,1
factures non payées,get_factures_non_payees,success,51,2403.09,360.21,48.5,58.73,108.27,108.28,0.01,0.0,0.0,False,2026-04-02T11:52:34.458026,get_factures_non_payees,1
liste des factures impayées,get_factures_non_payees,success,51,2054.41,0.18,47.85,58.09,108.28,108.28,0.0,0.0,0.0,True,2026-04-02T11:52:36.613258,get_factures_non_payees,1
factures partiellement payées,get_factures_partiellement_payees,success,6,2799.43,750.72,21.42,32.56,108.28,108.28,0.0,0.0,0.0,False,2026-04-02T11:52:39.513764,get_factures_partiellement_payees,1
clients avec plus de 2 commandes,get_clients_multiple_commandes,success,3,2044.57,0.12,17.66,31.5,108.28,108.28,0.0,0.0,0.8,True,2026-04-02T11:52:41.659013,get_clients_multiple_commandes,1
clients ayant passé plus de 3 commandes,get_clients_multiple_commandes,success,2,2046.41,0.11,17.08,30.83,108.28,108.28,0.0,0.0,0.0,True,2026-04-02T11:52:43.806274,get_clients_multiple_commandes,1
produits avec stock inférieur à 5,get_produits_stock_faible,success,67,2062.55,0.16,31.37,39.13,108.28,108.28,0.0,0.0,0.8,True,2026-04-02T11:52:45.969927,get_produits_stock_faible,1
produits stock inférieur à 10,get_produits_stock_faible,success,70,2049.07,0.09,31.62,39.63,108.28,108.28,0.0,0.0,0.0,True,2026-04-02T11:52:48.119782,get_produits_stock_faible,1
chiffre d affaires de janvier 2026,get_total_ventes_mois,success,1,2064.59,0.08,16.65,30.11,108.28,108.28,0.0,0.0,0.8,True,2026-04-02T11:52:50.284986,get_total_ventes_mois,1
chiffre d affaires de février 2026,get_total_ventes_mois,success,1,2066.24,0.12,16.66,30.09,108.28,108.29,0.0,0.0,0.0,True,2026-04-02T11:52:52.452222,get_total_ventes_mois,1
chiffre d affaires total par mois pour 2026,get_total_ventes_mois,error,0,2315.8,271.88,15.89,29.76,108.29,108.29,0.0,0.0,0.0,False,2026-04-02T11:52:54.869128,get_total_ventes_mois,1
factures entre 2026-01-01 et 2026-01-31,get_factures_between,success,100,2389.54,328.86,53.82,67.52,108.29,108.39,0.1,0.0,0.7,False,2026-04-02T11:52:57.360240,get_factures_between,2
factures entre 2025-12-01 et 2026-02-28,get_factures_between,success,100,2367.15,308.93,52.19,65.72,108.39,108.39,0.0,0.0,0.0,False,2026-04-02T11:52:59.828190,get_factures_between,2
factures non payées,get_factures_non_payees,success,51,2057.9,0.1,45.88,56.11,108.39,108.39,0.0,0.0,0.8,True,2026-04-02T11:53:01.987139,get_factures_non_payees,2
liste des factures impayées,get_factures_non_payees,success,51,2049.94,0.11,46.0,56.23,108.39,108.39,0.0,0.0,0.0,True,2026-04-02T11:53:04.137923,get_factures_non_payees,2
factures partiellement payées,get_factures_partiellement_payees,success,6,2044.12,0.19,19.81,30.2,108.39,108.39,0.0,0.0,0.0,True,2026-04-02T11:53:06.283018,get_factures_partiellement_payees,2
clients avec plus de 2 commandes,get_clients_multiple_commandes,success,3,2080.55,0.07,16.19,29.33,108.39,108.39,0.0,0.0,0.0,True,2026-04-02T11:53:08.464538,get_clients_multiple_commandes,2
clients ayant passé plus de 3 commandes,get_clients_multiple_commandes,success,2,2045.52,0.11,16.07,29.29,108.39,108.39,0.0,0.0,0.0,True,2026-04-02T11:53:10.610882,get_clients_multiple_commandes,2
produits avec stock inférieur à 5,get_produits_stock_faible,success,67,2071.94,0.09,30.56,38.32,108.39,108.39,0.0,0.0,0.0,True,2026-04-02T11:53:12.783588,get_produits_stock_faible,2
produits stock inférieur à 10,get_produits_stock_faible,success,70,2053.47,0.06,31.09,39.1,108.39,108.4,0.0,0.0,0.0,True,2026-04-02T11:53:14.937985,get_produits_stock_faible,2
chiffre d affaires de janvier 2026,get_total_ventes_mois,success,1,2052.52,0.1,16.04,29.17,108.4,108.4,0.0,0.0,0.0,True,2026-04-02T11:53:17.091294,get_total_ventes_mois,2
chiffre d affaires de février 2026,get_total_ventes_mois,success,1,2044.65,0.08,15.96,29.13,108.4,108.4,0.0,0.0,0.0,True,2026-04-02T11:53:19.236530,get_total_ventes_mois,2
chiffre d affaires total par mois pour 2026,get_total_ventes_mois,error,0,2206.55,146.09,15.43,29.11,108.4,108.4,0.0,0.0,0.0,False,2026-04-02T11:53:21.543885,get_total_ventes_mois,2
factures entre 2026-01-01 et 2026-01-31,get_factures_between,success,100,2053.54,0.07,53.41,67.12,108.4,108.4,0.0,0.0,0.0,True,2026-04-02T11:53:23.698693,get_factures_between,3
factures entre 2025-12-01 et 2026-02-28,get_factures_between,success,100,2054.98,0.06,51.96,65.5,108.4,108.4,0.0,0.0,0.0,True,2026-04-02T11:53:25.854651,get_factures_between,3
factures non payées,get_factures_non_payees,success,51,2045.9,0.08,45.54,55.77,108.4,108.34,-0.06,0.0,0.0,True,2026-04-02T11:53:28.001707,get_factures_non_payees,3
liste des factures impayées,get_factures_non_payees,success,51,2076.49,0.08,45.53,55.77,108.34,108.34,0.0,0.0,0.0,True,2026-04-02T11:53:30.179217,get_factures_non_payees,3
factures partiellement payées,get_factures_partiellement_payees,success,6,2043.04,0.08,19.52,29.88,108.34,108.34,0.0,0.0,0.8,True,2026-04-02T11:53:32.323882,get_factures_partiellement_payees,3
clients avec plus de 2 commandes,get_clients_multiple_commandes,success,3,2074.76,0.16,15.93,29.06,108.34,108.34,0.0,0.0,0.0,True,2026-04-02T11:53:34.499774,get_clients_multiple_commandes,3
clients ayant passé plus de 3 commandes,get_clients_multiple_commandes,success,2,2056.97,0.08,16.0,29.22,108.34,108.35,0.0,0.0,0.0,True,2026-04-02T11:53:36.658451,get_clients_multiple_commandes,3
produits avec stock inférieur à 5,get_produits_stock_faible,success,67,2073.6,0.11,30.36,38.12,108.35,108.35,0.0,0.0,0.0,True,2026-04-02T11:53:38.833048,get_produits_stock_faible,3
produits stock inférieur à 10,get_produits_stock_faible,success,70,2092.05,0.09,30.77,38.78,108.35,108.35,0.0,0.0,0.0,True,2026-04-02T11:53:41.025702,get_produits_stock_faible,3
chiffre d affaires de janvier 2026,get_total_ventes_mois,success,1,2075.73,0.21,15.91,29.06,108.35,108.35,0.0,0.0,0.8,True,2026-04-02T11:53:43.202233,get_total_ventes_mois,3
chiffre d affaires de février 2026,get_total_ventes_mois,success,1,2072.01,0.08,15.87,29.06,108.35,108.35,0.0,0.0,0.0,True,2026-04-02T11:53:45.375731,get_total_ventes_mois,3
chiffre d affaires total par mois pour 2026,get_total_ventes_mois,error,0,2230.16,148.41,15.51,29.22,108.35,108.35,0.0,0.0,0.0,False,2026-04-02T11:53:47.706669,get_total_ventes_mois,3
